안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지지번주소,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
82000001,1,99,일원터널 내 보행로,서울특별시 강남구 개포동 산46-11,3,Y,N,Y,경고등 + 경보음 + CCTV,2017,2022.2월,Y,서울특별시 동부도로사업소,02-2040-0368,2022-03-16
82000001,1,99,매봉터널 내 보행로,서울특별시 강남구 도곡동 산26-4,3,Y,N,Y,경고등 + 경보음 + CCTV,2017,2022.2월,Y,서울특별시 동부도로사업소,02-2040-0368,2022-03-16
82000001,1,99,금화터널 내 보행로,서울특별시 서대문구 대신동 2~현저동 산107,3,Y,N,Y,경고등 + 경보음 + CCTV,2017,2022.2월,Y,서울특별시 서부도로사업소,02-300-8394,2022-03-16
82000001,1,99,월드컵터널 내 보행로,서울특별시 마포구 성산동 664,3,Y,N,Y,경고등 + 경보음 + CCTV,2017,2022.2월,Y,서울특별시 서부도로사업소,02-300-8394,2022-03-16
82000001,1,99,호암2터널 내 보행로,서울특별시 금천구 시흥동 산73-5~경기도 안양시 석수동 산11-19,3,Y,N,Y,경고등 + 경보음 + CCTV,2017,2022.2월,Y,서울특별시 남부도로사업소,02-3284-5456,2022-03-16
82000001,1,99,상도터널 내 보행로,서울특별시 동작구 상도동 516~본동 136,3,Y,N,Y,경고등 + 경보음 + CCTV,2017,2022.2월,Y,서울특별시 남부도로사업소,02-3284-5456,2022-03-16
82000001,1,99,난곡터널 내 보행로,서울특별시 관악구 신림동 산197~신림동 1623,3,Y,N,Y,경고등 + 경보음 + CCTV,2017,2022.2월,Y,서울특별시 남부도로사업소,02-3284-5456,2022-03-16
82000001,1,99,산복터널 내 보행로,서울특별시 금천구 시흥2동 산100-1~관악구 신림동 산102-6,3,Y,N,Y,경고등 + 경보음 + CCTV,2017,2022.2월,Y,서울특별시 남부도로사업소,02-3284-5456,2022-03-16
82000001,1,99,호암1터널 내 보행로,서울특별시 금천구 시흥동 산91-5~시흥동 산83-38,3,Y,N,Y,경고등 + 경보음 + CCTV,2017,2022.2월,Y,서울특별시 남부도로사업소,02-3284-5456,2022-03-16
82000001,1,99,북악터널 내 보행로,서울특별시 종로구 평창동 산 6-2,3,Y,N,Y,경고등 + 경보음 + CCTV,2017,2022.2월,Y,서울특별시 북부도로사업소,02-944-5470,2022-03-16
82000001,1,99,구기터널 내 보행로,서울특별시 종로구 구기동 244~은평구 불광동 산42-1,3,Y,N,Y,경고등 + 경보음 + CCTV,2017,2022.2월,Y,서울특별시 북부도로사업소,02-944-5470,2022-03-16
82000001,1,99,자하문터널 내 보행로,서울특별시 종로구 청운동 산4-6~부암동,3,Y,N,Y,경고등 + 경보음 + CCTV,2017,2022.2월,Y,서울특별시 북부도로사업소,02-944-5470,2022-03-16
82000001,1,99,공릉터널 내 보행로,서울특별시 노원구 하계동 산34-8~공릉동 172-18,3,Y,N,Y,경고등 + 경보음 + CCTV,2017,2022.2월,Y,서울특별시 북부도로사업소,02-944-5470,2022-03-16
82000001,1,99,솔샘터널 내 보행로,서울특별시 강북구 미아동 1353~성북구 정릉동239-23,3,Y,N,Y,경고등 + 경보음 + CCTV,2017,2022.2월,Y,서울특별시 북부도로사업소,02-944-5470,2022-03-16
82000001,1,99,사직터널 내 보행로,서울특별시 종로구 교남동~사직동,3,Y,N,Y,경고등 + 경보음 + CCTV,2017,2022.2월,Y,서울특별시 북부도로사업소,02-944-5470,2022-03-16
82000001,1,99,금호터널 내 보행로,서울특별시 성동구 금호동2가 산2-1,3,Y,N,Y,경고등 + 경보음 + CCTV,2017,2022.2월,Y,서울특별시 성동도로사업소,02-2210-1547,2022-03-16
82000001,1,99,무지개터널 내 보행로,서울특별시 성동구 성수동1가 685-243,3,Y,N,Y,경고등 + 경보음 + CCTV,2017,2022.2월,Y,서울특별시 성동도로사업소,02-2210-1547,2022-03-16
82000001,1,99,옥수터널 내 보행로,서울특별시 성동구 옥수동 517-24,3,Y,N,Y,경고등 + 경보음 + CCTV,2017,2022.2월,Y,서울특별시 성동도로사업소,02-2210-1547,2022-03-16
82000001,1,99,화곡터널 내 보행로,서울특별시 강서구 화곡동 산143-2~화곡동 산172-2,3,Y,N,Y,경고등 + 경보음 + CCTV,2017,2022.2월,Y,서울특별시 강서도로사업소,02-2657-7961,2022-03-16
82000001,1,99,궁동터널 내 보행로,서울특별시 양천구 신정동 산150-1~구로구 궁동 산1-42,3,Y,N,Y,경고등 + 경보음 + CCTV,2017,2022.2월,Y,서울특별시 강서도로사업소,02-2657-7961,2022-03-16
